[0425/171502:ERROR:process_info.cc(330)] VirtualQueryEx: 存取被拒。 (0x5)
[0425/171502:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0425/171502:ERROR:process_info.cc(608)] range at 0xecf0822000, size 0x354 fully unreadable
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea7740000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\shcore.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea76b0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\powrprof.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x25ea0800000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\windows.storage.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea9900000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\SHELL32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea75e0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\bcrypt.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea3090000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\WINSPOOL.DRV
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe9f420000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.10586.0_none_8c15ae12515e1c22\COMCTL32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea7860000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\FirewallAPI.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea6530000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\fwbase.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8400000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\NETAPI32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea4fc0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\DAVHLPR.DLL
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8af0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\COMDLG32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea8710000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\ole32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x25ea1190000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\OLEAUT32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea5880000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffeaae60000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\WS2_32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe9de80000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\USP10.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea7720000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\MSASN1.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea78f0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\CRYPT32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea7800000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\system32\WINTRUST.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea5630000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\Secur32.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffea7330000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\SSPICLI.DLL
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe7ba90000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\49.0.2623.112\chrome_child.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ffe9f8f0000 of 64 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:pe_image_reader.cc(280)] could not read dos header from C:\WINDOWS\SYSTEM32\dwrite.dll
[0425/171502:ERROR:process_reader_win.cc(232)] ReadMemory at 0x7ff70b136a78 of 12 bytes failed: 僅完成部分的 ReadProcessMemory 或 WriteProcessMemory 要求。 (0x12B)
[0425/171502:WARNING:process_snapshot_win.cc(89)] ReadMemory ExceptionInformation failed
[0425/171502:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::InitializeException failed
[0425/171502:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess, ntstatus=-1073741558
